CoffeeShopsName|Address|Contacts
TheCouping|123 Wolf Street|TheCouping@gmail.com
ClassName|InstanceType|Price|ServingSize|Amount
BakedGoods|Bagel|2.25|Medium|x1
BakedGoods|Bagel|1.50|Small|x1
BakedGoods|Croissant|3.50|Large|x1
BakedGoods|Croissant|3.00|Medium|x1
BakedGoods|Croissant|2.00|Small|x1
BakedGoods|EnglishMuffin|2.00|Large|x1
BakedGoods|EnglishMuffin|1.50|Medium|x1
BakedGoods|EnglishMuffin|1.00|Small|x1
BakedGoods|Toast|1.50|Large|x1
BakedGoods|Toast|1.25|Medium|x1
BakedGoods|Toast|0.75|Small|x1
BreakfastSandwiches|BaconEggCheese|7.00|Medium|x0
BreakfastSandwiches|BaconEggCheese|8.00|Large|x1
BreakfastSandwiches|BaconEggCheese|4.50|Small|x1
BreakfastSandwiches|BreakfastGrilledCheese|8.50|Medium|x1
BreakfastSandwiches|BreakfastGrilledCheese|9.50|Large|x1
BreakfastSandwiches|BreakfastGrilledCheese|6.00|Small|x1
BreakfastSandwiches|HamPretzelSlider|8.50|Medium|x1
BreakfastSandwiches|HamPretzelSlider|9.50|Large|x1
BreakfastSandwiches|HamPretzelSlider|6.00|Small|x1
BreakfastSandwiches|SausageEggCheese|7.00|Medium|x1
BreakfastSandwiches|SausageEggCheese|8.00|Large|x1
BreakfastSandwiches|SausageEggCheese|4.50|Small|x1
Coffee|Americano|11.00|Large|x1
Coffee|Americano|9.50|Medium|x1
Coffee|Americano|6.50|Small|x1
Coffee|Cappuccino|11.00|Large|x1
Coffee|Cappuccino|9.50|Medium|x1
Coffee|Cappuccino|6.50|Small|x1
Coffee|Espresso|11.00|Large|x1
Coffee|Espresso|9.50|Medium|x1
Coffee|Espresso|6.50|Small|x1
Coffee|Latte|11.00|Large|x1
Coffee|Latte|9.50|Medium|x1
Coffee|Latte|6.50|Small|x1
Coffee|Mocha|10.00|Large|x1
Coffee|Mocha|7.50|Medium|x1
Coffee|Mocha|5.00|Small|x1
Desserts|CoffeeCake|12.50|Large|x1
Desserts|CoffeeCake|9.25|Medium|x1
Desserts|CoffeeCake|7.50|Small|x1
Desserts|Cupcake|6.50|Large|x1
Desserts|Cupcake|4.75|Medium|x1
Desserts|Cupcake|3.50|Small|x1
Desserts|IceCream|8.25|Large|x1
Desserts|IceCream|6.50|Medium|x1
Desserts|IceCream|4.50|Small|x1
Desserts|PumpkinPie|11.75|Large|x1
Desserts|PumpkinPie|8.75|Medium|x1
Desserts|PumpkinPie|7.00|Small|x1
Snacks|Cheetos|2.50|Large|x1
Snacks|Cheetos|1.25|Medium|x1
Snacks|Cheetos|0.50|Small|x1
Snacks|Doritos|2.50|Large|x1
Snacks|Doritos|1.50|Medium|x1
Snacks|Doritos|0.50|Small|x1
Snacks|Peanuts|2.50|Large|x1
Snacks|Peanuts|1.25|Medium|x1
Snacks|Peanuts|0.50|Small|x1
Snacks|SnackBacon|2.50|Large|x1
Snacks|SnackBacon|1.25|Medium|x1
Snacks|SnackBacon|0.50|Small|x1
Tea|Boba|10.00|Large|x1
Tea|Boba|7.50|Medium|x1
Tea|Boba|5.00|Small|x1
Tea|Green|10.00|Large|x1
Tea|Green|7.50|Medium|x1
Tea|Green|5.00|Small|x1
Tea|Ube|10.00|Large|x1
Tea|Ube|7.50|Medium|x1
Tea|Ube|5.00|Small|x1
SpecialCoffee|BirthdayBlitz|16.5|Large|x1
SpecialCoffee|BirthdayBlitz|15|Medium|x1
SpecialCoffee|BirthdayBlitz|12|Small|x1
SpecialCoffee|ChocoMucho|14.25|Large|x1
SpecialCoffee|ChocoMucho|12.75|Medium|x1
SpecialCoffee|ChocoMucho|9.75|Small|x1
SpecialCoffee|Carameltdown|13.00|Large|x1
SpecialCoffee|Carameltdown|11.50|Medium|x1
SpecialCoffee|Carameltdown|8.5|Small|x1
SpecialCoffee|SpicemyIce|12.00|Large|x1
SpecialCoffee|SpicemyIce|10.50|Medium|x1
SpecialCoffee|SpicemyIce|7.5|Small|x1
SpecialCoffee|Creamy'sDelight|13.75|Large|x1
SpecialCoffee|Creamy'sDelight|12.25|Medium|x1
SpecialCoffee|Creamy'sDelight|9.25|Small|x1
